"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
2.1875,-2.57,9.91,4.06
2.2000,-2.57,10.14,4.09
2.2125,-2.66,10.22,4.17
2.2250,-2.71,9.97,4.23
2.2375,-2.60,9.91,4.40
2.2500,-2.66,9.91,4.45
2.2625,-2.85,9.72,4.48
2.2750,-2.94,9.69,4.65
2.2875,-2.94,9.72,4.62
2.3000,-2.99,9.72,4.59
2.3125,-3.13,9.88,4.62
2.3250,-3.47,9.94,4.73
2.3375,-3.58,9.77,4.76
2.3500,-3.66,9.35,4.76
2.3625,-3.64,9.13,4.85
2.3750,-3.64,9.10,4.82
2.3875,-3.69,9.27,4.87
2.4000,-3.78,9.49,4.96
2.4125,-3.83,9.46,5.04
2.4250,-3.86,9.38,5.32
2.4375,-3.92,9.41,5.66
2.4500,-4.03,9.55,5.96
2.4625,-4.17,9.74,6.30
2.4750,-4.17,9.88,6.58
2.4875,-4.06,9.63,6.92
2.5000,-3.78,9.13,7.34
2.5125,-3.27,8.57,7.76
2.5250,-2.77,8.40,8.32
2.5375,-2.68,8.46,8.60
2.5500,-2.77,8.37,8.76
2.5625,-3.02,8.18,8.68
2.5750,-3.22,7.87,8.54
2.5875,-3.52,7.36,8.37
2.6000,-3.69,6.83,8.15
2.6125,-3.83,6.61,7.76
2.6250,-3.94,6.27,7.53
2.6375,-4.00,5.96,7.34
2.6500,-3.86,5.74,7.17
2.6625,-3.66,5.52,6.92
2.6750,-3.52,5.01,6.75
2.6875,-3.38,4.82,6.64
2.7000,-3.16,4.87,6.66
2.7125,-2.99,4.90,6.72
2.7250,-2.99,4.87,6.75
2.7375,-2.91,4.85,6.86
2.7500,-2.74,4.90,6.92
2.7625,-2.68,4.85,7.06
2.7750,-2.63,5.18,7.25
2.7875,-2.77,5.63,7.45
2.8000,-2.96,5.99,7.62
2.8125,-3.30,6.33,7.70
2.8250,-3.61,6.47,7.73
2.8375,-4.00,6.83,7.87
2.8500,-4.45,7.28,7.87
2.8625,-4.92,7.67,7.81
2.8750,-5.40,7.84,7.78
2.8875,-5.54,7.56,7.62
2.9000,-5.40,7.34,7.53
2.9125,-5.18,7.14,7.36
2.9250,-4.84,7.06,7.22
2.9375,-4.42,7.08,7.17
2.9500,-4.11,7.17,7.17
2.9625,-3.94,7.20,7.14
2.9750,-3.89,7.20,7.22
2.9875,-3.69,7.14,7.31
3.0000,-3.58,7.20,7.28
3.0125,-3.55,7.36,7.31
3.0250,-3.55,7.70,7.28
3.0375,-3.64,7.87,7.17
3.0500,-3.64,7.84,7.17
3.0625,-3.64,7.73,7.06
3.0750,-3.69,7.76,7.03
3.0875,-3.75,7.81,6.97
3.1000,-3.78,7.95,7.06
3.1125,-3.86,7.95,7.03
3.1250,-3.92,7.76,7.08
3.1375,-4.11,7.59,7.06
3.1500,-4.14,7.64,7.06
3.1625,-4.11,7.73,7.03
3.1750,-4.08,7.95,7.03
3.1875,-3.94,7.84,6.97
3.2000,-3.89,7.62,6.94
3.2125,-3.92,7.36,6.86
3.2250,-3.75,7.25,6.72
3.2375,-3.58,7.31,6.61
3.2500,-3.47,7.45,6.50
3.2625,-3.55,7.50,6.33
3.2750,-3.75,7.48,6.08
3.2875,-3.78,7.20,5.49
3.3000,-3.69,6.72,4.51
3.3125,-3.52,6.24,3.73
3.3250,-3.55,5.94,3.25
3.3375,-3.83,5.57,2.66
3.3500,-3.66,4.79,2.02
3.3625,-3.10,3.53,1.65
3.3750,-2.43,2.33,1.54
3.3875,-2.04,1.85,1.57
3.4000,-2.04,2.05,1.77
3.4125,-1.79,2.33,1.96
3.4250,-1.06,2.55,2.30
3.4375,-0.50,3.28,2.80
3.4500,-0.67,4.45,3.56
3.4625,-0.89,5.77,4.31
3.4750,-1.28,7.22,5.15
3.4875,-1.79,9.10,6.41
3.5000,-3.10,11.39,7.95
3.5125,-6.46,14.19,9.74
3.5250,-11.75,16.46,11.79
3.5375,-16.26,17.52,13.80
3.5500,-17.91,17.69,15.57
3.5625,-18.39,19.12,17.69
3.5750,-18.41,21.75,19.85
3.5875,-18.27,23.54,21.05
3.6000,-16.71,24.33,21.02
3.6125,-14.30,24.91,20.30
3.6250,-11.86,24.77,18.34
3.6375,-9.96,22.95,16.04
3.6500,-8.84,21.11,13.86
3.6625,-8.34,20.02,11.90
3.6750,-7.64,18.84,9.91
3.6875,-7.02,16.46,7.95
3.7000,-6.94,12.71,5.91
3.7125,-5.76,8.40,4.34
3.7250,-3.94,3.47,2.52
3.7375,-1.84,-1.28,0.51
3.7500,0.59,-4.48,-0.64
3.7625,3.47,-4.84,-0.53
3.7750,5.52,-3.08,-0.19
3.7875,5.43,-0.64,-0.28
3.8000,3.81,1.07,-0.58
3.8125,2.02,1.46,-0.81
3.8250,1.04,1.07,-0.98
3.8375,0.48,0.79,-1.03
3.8500,-0.53,0.84,-0.92
3.8625,-1.48,1.15,-0.53
3.8750,-1.79,1.26,0.00
3.8875,-1.40,1.01,0.48
3.9000,-0.89,0.65,0.84
3.9125,-0.50,0.48,1.07
3.9250,-0.25,0.62,1.23
3.9375,-0.03,0.87,1.29
3.9500,0.03,1.01,1.37
3.9625,0.00,1.12,1.51
3.9750,0.00,1.23,1.60
3.9875,0.09,1.23,1.60
4.0000,0.39,1.21,1.57
4.0125,0.65,1.15,1.51
