"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
0.0000,-2.77,9.38,7.90
0.0125,-3.10,9.44,7.64
0.0250,-3.33,9.30,7.45
0.0375,-3.66,9.07,7.20
0.0500,-3.80,8.79,7.00
0.0625,-3.83,8.65,6.69
0.0750,-4.03,8.46,6.30
0.0875,-3.86,7.76,6.19
0.1000,-4.06,7.11,5.99
0.1125,-4.67,6.72,6.30
0.1250,-4.64,6.64,6.33
0.1375,-3.92,7.76,6.33
0.1500,-3.16,8.90,6.24
0.1625,-2.91,8.68,6.19
0.1750,-3.33,7.90,6.38
0.1875,-3.75,8.23,6.58
0.2000,-3.72,8.79,6.61
0.2125,-3.38,8.88,6.69
0.2250,-3.36,8.82,6.78
0.2375,-3.47,8.88,6.89
0.2500,-3.66,8.96,7.03
0.2625,-3.55,8.74,7.03
0.2750,-3.41,8.46,7.03
0.2875,-3.33,8.23,7.08
0.3000,-3.24,8.06,7.08
0.3125,-3.16,8.06,7.03
0.3250,-3.02,8.20,7.03
0.3375,-2.94,8.23,7.00
0.3500,-2.82,8.23,7.00
0.3625,-2.68,8.18,7.00
0.3750,-2.63,8.15,6.94
0.3875,-2.54,8.29,6.94
0.4000,-2.52,8.60,7.03
0.4125,-2.49,8.79,7.03
0.4250,-2.52,8.88,7.00
0.4375,-2.54,8.85,7.03
0.4500,-2.54,8.76,7.06
0.4625,-2.52,8.68,6.97
0.4750,-2.49,8.62,6.94
0.4875,-2.54,8.62,6.89
0.5000,-2.63,8.76,6.83
0.5125,-2.54,8.76,6.75
0.5250,-2.54,8.68,6.69
0.5375,-2.54,8.62,6.66
0.5500,-2.52,8.54,6.61
0.5625,-2.54,8.46,6.61
0.5750,-2.54,8.37,6.61
0.5875,-2.49,8.40,6.61
0.6000,-2.49,8.60,6.64
0.6125,-2.49,8.68,6.69
0.6250,-2.52,8.62,6.69
0.6375,-2.54,8.54,6.72
0.6500,-2.54,8.57,6.72
0.6625,-2.49,8.57,6.72
