"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
0.0000,-3.24,5.88,8.04
0.0125,-2.29,5.57,7.92
0.0250,-2.32,7.03,7.70
0.0375,-2.85,8.04,8.01
0.0500,-2.77,8.82,8.01
0.0625,-2.29,9.02,7.95
0.0750,-1.98,8.65,7.95
0.0875,-1.84,8.04,8.09
0.1000,-1.93,8.06,8.15
0.1125,-2.04,8.68,7.92
0.1250,-1.90,8.96,7.81
0.1375,-1.45,9.04,7.70
0.1500,-1.17,9.21,7.67
0.1625,-1.09,9.38,7.53
0.1750,-0.98,9.38,7.36
0.1875,-1.00,9.27,7.28
0.2000,-1.03,9.30,7.20
0.2125,-0.92,9.32,7.17
0.2250,-0.86,9.21,7.11
0.2375,-0.92,9.16,6.94
0.2500,-0.92,9.21,6.92
0.2625,-0.98,9.16,6.86
0.2750,-1.00,8.99,6.78
0.2875,-1.12,9.07,6.69
0.3000,-1.45,9.27,6.50
0.3125,-1.65,9.38,6.52
0.3250,-1.51,9.44,6.50
0.3375,-1.62,9.21,6.50
0.3500,-1.62,8.88,6.47
0.3625,-1.45,8.71,6.47
0.3750,-1.34,8.74,6.50
0.3875,-1.31,8.76,6.41
0.4000,-1.23,8.68,6.19
0.4125,-1.76,8.26,6.36
0.4250,-1.14,7.42,6.38
0.4375,-0.78,7.45,6.41
0.4500,-0.84,7.98,6.47
0.4625,-0.86,8.20,6.78
0.4750,-0.22,7.84,7.08
0.4875,0.09,7.39,7.22
0.5000,-0.03,7.06,7.39
0.5125,-0.08,6.97,7.59
0.5250,0.09,7.08,7.48
0.5375,0.34,7.28,7.42
0.5500,0.31,7.56,7.45
0.5625,0.31,7.64,7.53
0.5750,0.56,7.39,7.39
0.5875,0.53,6.80,7.31
0.6000,0.31,6.50,7.34
0.6125,0.06,6.64,7.42
0.6250,-0.17,7.08,7.59
0.6375,-0.58,7.95,7.67
0.6500,-0.98,8.29,7.84
0.6625,-0.78,8.06,8.06
0.6750,-0.56,7.90,8.18
0.6875,-0.67,7.95,8.18
0.7000,-0.92,8.09,8.23
0.7125,-1.14,8.46,8.29
0.7250,-1.14,9.02,8.34
0.7375,-1.06,9.24,8.43
0.7500,-0.92,8.90,8.65
0.7625,-0.86,8.62,8.62
0.7750,-1.03,8.37,8.76
0.7875,-1.48,8.18,8.96
0.8000,-1.96,7.81,9.10
0.8125,-1.96,7.22,9.18
0.8250,-1.79,7.11,9.32
0.8375,-1.56,6.94,9.60
0.8500,-1.45,6.94,9.77
0.8625,-1.06,7.03,9.69
0.8750,-0.53,7.00,9.80
0.8875,-0.08,7.28,9.77
0.9000,-0.19,7.64,9.83
0.9125,-0.50,7.59,9.94
0.9250,-0.75,7.11,10.05
0.9375,-0.84,6.47,9.97
0.9500,-1.03,6.08,9.97
0.9625,-1.06,5.94,9.86
0.9750,-1.09,5.96,9.77
0.9875,-1.14,5.88,9.83
1.0000,-1.12,5.91,9.74
1.0125,-1.17,6.22,9.55
1.0250,-1.03,6.50,9.21
1.0375,-0.98,6.75,9.04
1.0500,-1.00,6.89,8.68
1.0625,-1.20,6.72,8.37
1.0750,-1.28,6.52,8.15
1.0875,-1.37,6.30,7.90
1.1000,-1.48,6.30,7.76
1.1125,-1.48,6.52,7.64
1.1250,-1.54,6.61,7.62
1.1375,-1.48,6.69,7.62
1.1500,-1.23,6.75,7.53
1.1625,-1.14,6.89,7.45
1.1750,-1.26,7.06,7.36
1.1875,-1.26,7.34,7.48
1.2000,-1.42,7.56,7.50
1.2125,-1.54,7.53,7.48
1.2250,-1.65,7.64,7.39
1.2375,-1.84,7.98,7.45
1.2500,-2.04,8.40,7.39
1.2625,-2.32,8.99,7.42
1.2750,-2.71,9.38,7.39
1.2875,-2.99,9.41,7.36
1.3000,-3.02,9.41,7.34
1.3125,-2.94,9.55,7.42
1.3250,-3.02,9.86,7.34
1.3375,-3.19,10.30,7.42
1.3500,-3.47,10.64,7.31
1.3625,-3.61,10.64,7.11
1.3750,-3.80,10.44,6.89
1.3875,-3.92,10.22,6.72
1.4000,-3.69,9.74,6.55
1.4125,-3.10,9.32,6.22
1.4250,-2.52,9.16,5.99
1.4375,-2.07,9.55,5.94
1.4500,-1.96,10.19,5.85
1.4625,-2.24,10.67,5.80
1.4750,-2.66,10.86,5.77
1.4875,-3.22,10.75,5.63
1.5000,-3.41,10.33,5.49
1.5125,-3.50,9.91,5.18
1.5250,-3.72,9.66,5.01
1.5375,-3.78,9.44,4.96
1.5500,-3.66,9.16,4.65
1.5625,-3.52,8.99,4.62
1.5750,-3.30,8.93,4.73
1.5875,-3.10,8.90,4.73
1.6000,-2.94,8.76,4.85
1.6125,-2.85,8.54,5.01
1.6250,-2.91,8.34,5.24
1.6375,-2.77,8.23,5.35
1.6500,-2.54,8.26,5.49
1.6625,-2.43,8.88,5.60
1.6750,-2.80,9.24,5.68
1.6875,-3.13,9.10,5.77
1.7000,-3.38,8.76,5.82
1.7125,-3.44,8.23,6.22
1.7250,-3.13,8.34,6.55
1.7375,-2.94,9.55,6.78
1.7500,-3.55,11.00,7.08
1.7625,-4.81,11.65,7.11
1.7750,-4.81,10.78,7.06
1.7875,-4.03,9.16,7.17
1.8000,-3.75,7.78,7.34
1.8125,-3.02,7.14,7.20
1.8250,-2.01,6.86,7.25
1.8375,-0.72,6.64,7.17
1.8500,-0.17,6.86,7.22
1.8625,-0.42,6.83,7.56
1.8750,-1.17,6.86,8.23
1.8875,-1.54,7.11,8.68
1.9000,-2.01,7.03,8.82
1.9125,-2.88,6.94,8.96
1.9250,-3.19,6.66,9.04
1.9375,-2.80,6.08,9.32
1.9500,-2.82,6.05,9.44
1.9625,-3.27,5.99,9.66
1.9750,-3.08,5.68,9.69
1.9875,-2.63,5.43,9.38
2.0000,-2.38,5.63,9.35
2.0125,-2.46,6.16,9.66
2.0250,-2.63,6.44,9.55
2.0375,-2.32,6.30,9.41
2.0500,-1.68,5.82,9.18
2.0625,-1.40,5.46,8.93
2.0750,-1.70,5.74,8.74
2.0875,-1.84,6.16,8.62
2.1000,-1.70,6.38,8.51
2.1125,-1.51,6.47,8.43
2.1250,-1.34,6.36,8.15
2.1375,-1.51,6.22,8.15
2.1500,-1.28,6.33,7.84
2.1625,-1.54,6.78,7.64
2.1750,-1.93,7.03,7.62
2.1875,-2.43,7.03,7.62
2.2000,-2.71,7.08,7.76
2.2125,-3.19,7.34,8.01
2.2250,-3.86,7.34,8.04
2.2375,-4.22,7.08,8.04
2.2500,-4.14,6.86,7.95
2.2625,-4.17,7.06,7.87
2.2750,-4.31,7.45,7.87
2.2875,-4.31,7.87,7.81
2.3000,-4.14,7.67,7.64
